time,x,y
0.0,-4.902688362623902,-3.74388378128908
0.019999999999999574,-4.718250131500498,-4.02849935981278
0.040000000000000924,-4.625098602874328,-4.379200734520382
0.0600000000000005,-4.618340175070154,-4.793115429759369
0.08000000000000007,-4.6937633233520275,-5.270564508383048
0.09999999999999964,-4.848189211626376,-5.813936661190088
0.120000000000001,-5.0795493682575925,-6.4265026838434
0.14000000000000057,-5.386723455554411,-7.111090901477395
0.16000000000000014,-5.769143641644034,-7.868505305739396
0.17999999999999972,-6.226150277725828,-8.69555907711447
0.20000000000000107,-6.756063357366174,-9.582625032291187
0.22000000000000064,-7.3549321123762885,-10.51071048067561
0.2400000000000002,-8.014952660797697,-11.448290086369646
0.2599999999999998,-8.722621103759264,-12.348518650406374
0.27999999999999936,-9.456838090403632,-13.147995226940798
0.3000000000000007,-10.187413570280242,-13.76883227398753
0.3200000000000003,-10.874682169414172,-14.125980928211812
0.33999999999999986,-11.471113735555345,-14.14097998293795
0.35999999999999943,-11.925656500412048,-13.76092144170252
0.3800000000000008,-12.190867360866257,-12.977784029200636
0.40000000000000036,-12.231678927467089,-11.840250200653072
0.41999999999999993,-12.033409712189979,-10.45067369708872
0.4399999999999995,-11.606187037983243,-8.945507950081582
0.46000000000000085,-10.983924457440386,-7.46566033743308
0.4800000000000004,-10.21806549896613,-6.1282839899605985
0.5,-9.368293640553038,-5.0097739983894085
0.5199999999999996,-8.493191928763675,-4.143036900465453
0.5400000000000009,-7.6432002119871925,-3.5255987495988985
0.5600000000000005,-6.856851223099381,-3.132402941312263
0.5800000000000001,-6.16002302990462,-2.9281186154691077
0.5999999999999996,-5.567283281293033,-2.8762849682782257
0.620000000000001,-5.084299926173711,-2.9447938471259727
0.6400000000000006,-4.710515170254793,-3.10839006633061
0.6600000000000001,-4.441587401491291,-3.3491925855270073
0.6799999999999997,-4.271371090933403,-3.6561151116443873
0.7000000000000011,-4.193378828469635,-4.023795706185203
0.7200000000000006,-4.20176858657033,-4.451388005935676
0.7400000000000002,-4.2919331994010514,-4.941375932680076
0.7599999999999998,-4.460773496232594,-5.498440671946682
0.7799999999999994,-4.706717693049031,-6.128323027990369
0.8000000000000007,-5.029521443587627,-6.8365645787462554
0.8200000000000003,-5.429852783169824,-7.626969120673208
0.8399999999999999,-5.908632486584416,-8.499602204618002
0.8599999999999994,-6.466075004726917,-9.448158530022534
0.8800000000000008,-7.100357849285988,-10.456603534222728
0.9000000000000004,-7.805862534821504,-11.49521057680724
0.9199999999999999,-8.570997634678646,-12.51653896807998
